,minutes,station,elevation
52,96,DLR-TUBSAT,23.796673194000665
53,97,DLR-TUBSAT,23.420892551800492
54,98,DLR-TUBSAT,14.073354556211253
55,2,MTI,21.67317272844606
56,93,MTI,11.59853212335673
57,15,SCISAT 1,28.33744031864354
58,16,SCISAT 1,18.20091729192923
59,93,CHUANGXIN 1 (CX-1),14.680900735819483
60,94,CHUANGXIN 1 (CX-1),35.38332631257243
61,51,APRIZESAT 2,60.26895002513441
62,95,FORMOSAT-3 FM5,15.398831784487083
63,96,FORMOSAT-3 FM5,15.509247225105112
64,68,ARIRANG-2 (KOMPSAT-2),15.764089889497965
65,92,SAUDICOMSAT 6,10.542861016881757
66,93,SAUDICOMSAT 6,17.23307679989598
67,94,SAUDICOMSAT 6,16.275068227357043
68,95,SAUDICOMSAT 6,10.989497608071176
69,36,AIM,26.058967172127005
70,37,AIM,19.408619566336103
71,36,YAOGAN 2,12.01891473798609
72,37,YAOGAN 2,16.16044269894726
73,38,YAOGAN 2,11.899860205588807
74,72,COSMO-SKYMED 1,15.255807587257282
75,73,COSMO-SKYMED 1,23.945432692813014
76,98,COSMOS 2428,11.862231846789417
77,99,COSMOS 2428,29.609210851127028
78,100,COSMOS 2428,24.86357083616855
79,25,COSMO-SKYMED 2,23.936234912575898
80,1,COSMO-SKYMED 3,11.71294676596203
81,96,COSMO-SKYMED 3,23.409810358039714
82,97,COSMO-SKYMED 3,21.485599784995927
83,14,STARS (KUKAI),57.92384598780035
84,21,KKS-1 (KISEKI),40.72405595903897
85,25,COSMOS 2451,23.652745786735466
86,26,COSMOS 2451,69.26474070649037
87,27,COSMOS 2451,60.366679148431906
88,28,COSMOS 2451,36.00047040068384
89,29,COSMOS 2451,24.078356821369113
90,30,COSMOS 2451,16.91183593165269
91,31,COSMOS 2451,11.92873857206525
92,83,COSMOS 2451,17.332548380486124
93,21,COSMOS 2453,10.01857677315382
94,22,COSMOS 2453,17.779696707750904
95,82,COSMOS 2453,24.09236058847883
96,83,COSMOS 2453,42.32237520546825
97,84,COSMOS 2453,52.5478376608119
98,85,COSMOS 2453,47.10174510580534
99,86,COSMOS 2453,37.07833904357502
100,87,COSMOS 2453,28.48333187657565
101,88,COSMOS 2453,21.701751235644416
102,89,COSMOS 2453,16.253549387075022
103,90,COSMOS 2453,11.72749220694811
104,44,DEIMOS-1,21.826618832761277
105,25,DUBAISAT-1,57.15865048278067
106,33,UK-DMC 2,11.36607344717947
107,34,UK-DMC 2,13.502643393311459
108,41,SWISSCUBE,44.861341407649846
109,90,BEESAT-1,46.88487718301664
110,95,ITUPSAT1,21.68702034971881
111,96,ITUPSAT1,13.276939709460505
112,76,SMOS,54.28483203213418
113,49,PROBA-2,10.97619331674225
114,50,PROBA-2,33.94283714741998
115,65,YAOGAN 7,40.87562745031718
116,111,YAOGAN 8,13.492366073374603
117,8,COSMOS 2463,15.346081015510594
118,9,COSMOS 2463,59.38921172942826
119,10,COSMOS 2463,17.466178396358632
120,60,COSMOS 2463,10.41137624860979
121,12,AISSAT 1,12.691188153412934
122,13,AISSAT 1,48.48633626321283
123,93,TISAT 1,39.1630611530503
124,6,TIANHUI 1,11.207297999020332
125,18,COSMOS 2467,26.580111994920657
126,19,COSMOS 2467,45.957927421784326
127,20,COSMOS 2467,54.72689756434625
128,21,COSMOS 2467,46.74321999926304
129,22,COSMOS 2467,36.05827049506553
130,23,COSMOS 2467,27.47791763022022
131,24,COSMOS 2467,20.83418023163173
132,25,COSMOS 2467,15.523370817253973
133,26,COSMOS 2467,11.112773967588243
134,75,COSMOS 2467,13.491175805627373
135,76,COSMOS 2467,12.0934147134909
136,53,STRELA 3,18.751594126821004
137,54,STRELA 3,37.86066680206237
138,55,STRELA 3,52.9529041620727
139,56,STRELA 3,50.84383709524504
140,57,STRELA 3,40.32620018273781
141,58,STRELA 3,30.88400668984801
142,59,STRELA 3,23.53110321224386
143,60,STRELA 3,17.726489746689694
144,61,STRELA 3,12.973676505681611
145,111,STRELA 3,14.05612016027195
146,4,COSMOS 2468,12.872191699368237
147,5,COSMOS 2468,33.088833404563964
148,6,COSMOS 2468,53.910522538346626
149,7,COSMOS 2468,56.681579299584634
150,8,COSMOS 2468,44.64226645185331
151,9,COSMOS 2468,33.68145426191832
152,10,COSMOS 2468,25.500293468512602
153,11,COSMOS 2468,19.252377141683848
154,12,COSMOS 2468,14.251212728369298
155,13,COSMOS 2468,10.075633709137573
156,62,COSMOS 2468,14.204690087765039
157,63,COSMOS 2468,11.28453315568421
158,65,SBSS (USA 216),19.53073509390695
159,42,COSMO-SKYMED 4,11.371391900013961
160,43,COSMO-SKYMED 4,19.061740115792507
161,78,SJ-11-02,59.370147962306824
162,32,APRIZESAT 5,30.373687511153086
163,53,APRIZESAT 6,14.017066011963804
164,54,APRIZESAT 6,11.840602917779753
165,20,LARES,18.461691571281722
166,21,LARES,32.526703860390256
167,22,LARES,39.66714166308929
168,23,LARES,31.452705070059622
169,24,LARES,20.64093276255278
